cve,epss,percentile
CVE-2023-0448,0.00046,0.13988
CVE-2023-0450,0.00074,0.30361
CVE-2023-0451,0.00087,0.35654
CVE-2023-0452,0.00046,0.13988
CVE-2023-0453,0.00045,0.12002
CVE-2023-0454,0.00046,0.12958
CVE-2023-0455,0.00273,0.63461
CVE-2023-0457,0.00200,0.56678
CVE-2023-0458,0.00045,0.12048
CVE-2023-0459,0.00043,0.07027
CVE-2023-0460,0.00043,0.07027
CVE-2023-0461,0.00042,0.05675
CVE-2023-0463,0.00043,0.07027
CVE-2023-0464,0.00136,0.47859
CVE-2023-0465,0.00132,0.47158
CVE-2023-0466,0.00132,0.47158
CVE-2023-0467,0.00046,0.12771
CVE-2023-0468,0.00043,0.07027
CVE-2023-0469,0.00043,0.07027
CVE-2023-0470,0.00045,0.12002
CVE-2023-0471,0.00193,0.55829
CVE-2023-0472,0.00337,0.67228
CVE-2023-0473,0.00062,0.24763
CVE-2023-0474,0.00063,0.25344
CVE-2023-0475,0.00046,0.13988
CVE-2023-0476,0.00046,0.12859
CVE-2023-0477,0.00050,0.16805
CVE-2023-0480,0.00058,0.21935
CVE-2023-0481,0.00042,0.05675
CVE-2023-0482,0.00042,0.05675
CVE-2023-0483,0.00060,0.23483
CVE-2023-0484,0.00046,0.13988
CVE-2023-0485,0.00077,0.31783
CVE-2023-0486,0.00046,0.13988
CVE-2023-0487,0.00050,0.16805
CVE-2023-0488,0.00045,0.12002
CVE-2023-0489,0.00043,0.07027
CVE-2023-0490,0.00045,0.12002
CVE-2023-0491,0.00045,0.12002
CVE-2023-0492,0.00045,0.12002
CVE-2023-0493,0.00273,0.63461
CVE-2023-0494,0.00136,0.47886
CVE-2023-0495,0.00046,0.13988
CVE-2023-0496,0.00046,0.13988
CVE-2023-0497,0.00046,0.13988
CVE-2023-0498,0.00046,0.13988
CVE-2023-0499,0.00046,0.13988
CVE-2023-0500,0.00048,0.14876
CVE-2023-0501,0.00048,0.14876
CVE-2023-0502,0.00048,0.14876
CVE-2023-0503,0.00046,0.13988
CVE-2023-0504,0.00046,0.13988
CVE-2023-0505,0.00046,0.13988
CVE-2023-0507,0.00045,0.12002
CVE-2023-0508,0.00052,0.18022
CVE-2023-0509,0.00061,0.24144
CVE-2023-0511,0.00091,0.38070
CVE-2023-0512,0.00057,0.21524
CVE-2023-0513,0.00066,0.26990
CVE-2023-0514,0.00046,0.13988
CVE-2023-0515,0.00076,0.30864
CVE-2023-0516,0.00076,0.30864
CVE-2023-0518,0.00049,0.15332
CVE-2023-0519,0.00045,0.12002
CVE-2023-0520,0.00045,0.12002
CVE-2023-0522,0.00048,0.14876
CVE-2023-0523,0.00154,0.50570
CVE-2023-0524,0.00050,0.16805
